J_kSalt_50K_v6_w,eps1,eps2
0,-14945375.62,7150482.038
0.01,-14945375.62,7150482.038
0.02,-4701056.725,2631451.109
0.03,-2345709.639,1430420.863
0.04,-1431697.734,930792.2034
0.05,-976482.6646,669090.5426
0.06,-714476.1969,512198.8088
0.07,-548679.2308,409424.0854
0.08,-436507.6049,337746.0629
0.09,-356742.99,285371.7489
0.1,-297795.5948,245697.916
0.11,-252872.8867,214769.1524
0.12,-217771.7832,190087.1124
0.13,-189766.9411,170004.3437
0.14,-167027.4768,153394.5561
0.15,-148284.979,139461.4725
0.16,-132633.2522,127632.5553
0.17,-119412.4627,117483.6755
0.18,-108134.4062,108693.7922
0.19,-98426.35166,101017.8465
0.2,-90003.66305,94265.47166
0.21,-82643.11664,88286.30168
0.22,-76169.52755,82959.10136
0.23,-70442.17538,78188.0078
0.24,-65347.21038,73893.24679
0.25,-60793.4395,70009.6795
0.26,-56704.77506,66483.05115
0.27,-53017.65075,63268.45189
0.28,-49680.33789,60328.47082
0.29,-46648.44904,57629.782
0.3,-43885.77024,55145.32511
0.31,-41358.83573,52852.09226
0.32,-39042.48788,50729.05904
0.33,-36912.33249,48759.32146
0.34,-34948.75256,46926.83302
0.35,-33134.2982,45218.4922
0.36,-31453.2462,43623.23953
0.37,-29893.47978,42129.86748
0.38,-28442.33473,40729.61742
0.39,-27090.37879,39414.44122
0.4,-25828.23909,38176.91556
0.41,-24647.14672,37010.95092
0.42,-23541.29678,35910.68062
0.43,-22503.64959,34870.9327
0.44,-21528.07342,33886.76006
0.45,-20610.4631,32954.54249
0.46,-19745.57207,32070.1077
0.47,-18929.09533,31229.91091
0.48,-18157.88318,30431.25122
0.49,-17428.36596,29671.07981
0.5,-16737.39839,28946.81787
0.51,-16082.02237,28255.96005
0.52,-15459.97976,27596.58365
0.53,-14868.87683,26966.57239
0.54,-14306.35475,26364.04095
0.55,-13771.08849,25787.64137
0.56,-13260.63929,25235.40921
0.57,-12773.79706,24706.19858
0.58,-12308.56217,24198.38889
0.59,-11864.40052,23711.29655
0.6,-11439.15526,23243.24476
0.61,-11032.10555,22793.48026
0.62,-10642.2924,22361.10846
0.63,-10268.27239,21944.93004
0.64,-9909.395968,21544.35746
0.65,-9564.831345,21158.57994
0.66,-9233.479526,20786.7235
0.67,-8914.820637,20428.21509
0.68,-8608.058875,20082.4114
0.69,-8312.446319,19748.662
0.7,-8027.522113,19426.47116
0.71,-7752.778326,19115.45339
0.72,-7487.56902,18814.95565
0.73,-7231.179001,18524.48225
0.74,-6983.443631,18243.77276
0.75,-6743.699514,17972.32851
0.76,-6511.56466,17709.77359
0.77,-6286.639159,17455.78637
0.78,-6068.536451,17210.05264
0.79,-5857.10103,16972.42083
0.8,-5651.517268,16742.30062
0.81,-5451.870025,16519.70822
0.82,-5257.572309,16304.2423
0.83,-5068.476093,16095.81504
0.84,-4884.243741,15894.16708
0.85,-4704.486879,15699.12607
0.86,-4529.061602,15510.63295
0.87,-4357.42307,15328.32585
0.88,-4189.566366,15152.40242
0.89,-4025.071871,14982.6489
0.9,-3863.607763,14819.03744
0.91,-3704.891289,14661.60282
0.92,-3548.544332,14510.42363
0.93,-3394.167297,14365.64535
0.94,-3241.326549,14227.53085
0.95,-3089.454471,14096.5013
0.96,-2937.821907,13973.20021
0.97,-2785.431568,13858.79917
0.98,-2630.634417,13755.28454
0.99,-2470.357965,13667.03362
1,-2286.702984,13622.52853
1.01,-2196.241372,13632.11969
1.02,-2132.217181,13598.00032
1.03,-2077.125461,13550.11313
1.04,-2028.076737,13493.57461
1.05,-1983.535705,13430.9954
1.06,-1942.644548,13363.91654
1.07,-1904.726737,13293.43631
1.08,-1869.391799,13220.27473
1.09,-1836.242552,13145.04512
1.1,-1805.016813,13068.16428
1.11,-1775.530883,12989.98944
1.12,-1747.547893,12910.79584
1.13,-1720.961152,12830.84619
1.14,-1695.610974,12750.32286
1.15,-1671.385807,12669.38648
1.16,-1648.206753,12588.19334
1.17,-1625.944806,12506.85311
1.18,-1604.552289,12425.4845
1.19,-1583.979799,12344.17308
1.2,-1564.130258,12262.99051
1.21,-1544.938956,12182.00536
1.22,-1526.404219,12101.28126
1.23,-1508.431023,12020.88679
1.24,-1491.016449,11940.85272
1.25,-1474.112187,11861.22768
1.26,-1457.66858,11782.02882
1.27,-1441.669117,11703.30171
1.28,-1426.081219,11625.07695
1.29,-1410.872682,11547.38466
1.3,-1396.00984,11470.22415
1.31,-1381.507568,11393.63729
1.32,-1367.316561,11317.60871
1.33,-1353.407697,11242.1974
1.34,-1339.792618,11167.38395
1.35,-1326.454743,11093.1808
1.36,-1313.347945,11019.60196
1.37,-1300.456332,10946.65941
1.38,-1287.823292,10874.36148
1.39,-1275.372095,10802.69383
1.4,-1263.132335,10731.68025
1.41,-1251.071258,10661.28911
1.42,-1239.190812,10591.57492
1.43,-1227.474116,10522.51965
1.44,-1215.904511,10454.10543
1.45,-1204.496104,10386.34184
1.46,-1193.205239,10319.24159
1.47,-1182.073226,10252.78355
1.48,-1171.071812,10186.99386
1.49,-1160.183268,10121.82621
1.5,-1149.394965,10057.32006
1.51,-1138.71951,9993.456101
1.52,-1128.156033,9930.230168
1.53,-1117.703671,9867.638116
