J_kSalt_30K_v8_w,eps1,eps2
0.61,-1195.057941,80654.74012
0.62,-1185.183795,79342.31338
0.63,-1178.200463,78074.48905
0.64,-1165.689772,76842.375
0.65,-1153.433768,75654.21224
0.66,-1146.697127,74502.55695
0.67,-1135.717629,73381.26013
0.68,-1125.808939,72298.21842
0.69,-1122.065109,71246.42733
0.7,-1117.196743,70218.32126
0.71,-1106.02822,69218.69779
0.72,-1095.428881,68252.80467
0.73,-1090.252999,67314.14991
0.74,-1082.449868,66397.31571
0.75,-1078.35515,65507.43402
0.76,-1073.29567,64636.14019
0.77,-1062.942205,63787.53021
0.78,-1053.524773,62966.20797
0.79,-1049.554181,62166.34055
0.8,-1045.327504,61381.72282
0.81,-1036.857964,60616.18297
0.82,-1031.227331,59872.67065
0.83,-1023.307021,59145.08712
0.84,-1018.620384,58437.67357
0.85,-1012.229711,57744.57014
0.86,-1010.678357,57068.61254
0.87,-1000.520562,56403.47299
0.88,-998.1703159,55761.13926
0.89,-990.4393224,55125.7068
0.9,-982.5800983,54510.60632
0.91,-979.5040799,53909.94841
0.92,-976.888689,53318.55652
0.93,-972.7302839,52738.33915
0.94,-965.2231273,52171.00399
0.95,-960.2624173,51618.76348
0.96,-953.8915293,51076.6961
0.97,-950.7410449,50548.10244
0.98,-947.943894,50027.20577
0.99,-943.7875652,49515.65682
1,-936.6743455,49014.99096
1.01,-932.0050004,48527.22222
1.02,-926.1949317,48047.8768
1.03,-923.4995739,47579.96635
1.04,-921.3320849,47118.21279
1.05,-918.1795735,46664.09343
1.06,-912.688686,46218.92147
1.07,-910.7421894,45783.57244
1.08,-902.880258,45353.39001
1.09,-901.1268952,44936.91763
1.1,-896.1010548,44522.58975
1.11,-892.6221903,44119.17553
1.12,-889.2357698,43721.08019
1.13,-883.8723835,43330.40839
1.14,-881.096171,42948.80086
1.15,-878.8051495,42571.64216
1.16,-875.7605263,42200.16523
1.17,-870.8341532,41835.48865
1.18,-869.1327193,41478.35178
1.19,-862.5332712,41124.73083
1.2,-861.522152,40781.92115
1.21,-858.7346316,40439.15614
1.22,-853.1632808,40103.61978
1.23,-849.599094,39776.01738
1.24,-845.5432265,39452.92054
1.25,-844.948008,39135.79254
1.26,-840.9809077,38820.30569
1.27,-838.3570193,38512.78944
1.28,-836.0414749,38208.54813
1.29,-833.0667647,37908.55946
1.3,-828.4771594,37613.79071
1.31,-826.0672883,37325.48998
1.32,-824.1947546,37039.88186
1.33,-821.9358958,36757.90493
1.34,-818.9914608,36479.83197
1.35,-814.5071811,36206.53068
1.36,-812.0880212,35939.16338
1.37,-810.1917731,35674.15831
1.38,-807.9531978,35412.3996
1.39,-805.0944134,35154.14406
1.4,-800.8115771,34900.21297
1.41,-798.5234041,34651.70427
1.42,-796.7760483,34405.23437
1.43,-794.7620574,34161.63236
1.44,-792.2393654,33921.12255
1.45,-788.4988439,33684.43119
1.46,-787.3367336,33452.0089
1.47,-783.4264037,33220.37478
1.48,-780.5164485,32994.54451
1.49,-777.2776241,32771.35588
1.5,-776.8004426,32551.83763
1.51,-773.9745973,32332.64796
1.52,-772.9508758,32118.01396
1.53,-769.2557081,31904.0863
1.54,-766.4756039,31695.52783
1.55,-763.3798834,31489.342
1.56,-762.8953516,31286.48489
1.57,-760.2134205,31083.80308
1.58,-759.2604699,30885.27019
1.59,-755.8291679,30687.24598
1.6,-753.3419825,30494.0914
1.61,-751.0810021,30302.50343
1.62,-747.9691634,30113.62028
1.63,-747.1900215,29927.85912
1.64,-744.2363235,29742.28114
1.65,-742.3411493,29561.08586
1.66,-740.845109,29381.0944
1.67,-739.1727877,29202.90791
1.68,-737.1624248,29026.68208
1.69,-734.2734425,28852.98196
1.7,-733.5436953,28682.14496
1.71,-730.7632939,28511.39526
1.72,-728.9842511,28344.65973
1.73,-727.597062,28178.94408
1.74,-726.07715,28014.79861
1.75,-724.3048363,27852.33669
1.76,-722.1598618,27691.67266
1.77,-719.1291864,27533.34603
1.78,-717.6817256,27378.06601
1.79,-717.2212552,27223.00947
1.8,-714.3117314,27068.54157
1.81,-712.1862997,26917.85613
1.82,-710.2804473,26768.18289
1.83,-707.7235198,26620.45124
1.84,-707.1908905,26474.98185
1.85,-704.9695899,26329.29325
1.86,-704.1557469,26186.45685
1.87,-701.4682044,26043.62945
1.88,-699.6159124,25904.19878
1.89,-698.0676783,25765.54794
1.9,-696.3416551,25628.18801
1.91,-693.9730462,25492.61214
1.92,-693.4976651,25359.09119
1.93,-691.4428381,25225.29099
1.94,-690.7221521,25094.08357
1.95,-688.2596779,24962.79953
1.96,-686.6076823,24834.6102
1.97,-685.2770081,24707.04863
1.98,-683.8430219,24580.56648
1.99,-682.1943271,24455.27535
2,-679.9266042,24331.60563
2.01,-679.4178023,24209.79644
2.02,-677.4316459,24087.66774
2.03,-676.694362,23967.89402
2.04,-674.3335866,23847.98459
2.05,-672.737967,23730.89813
2.06,-671.4500236,23614.33045
2.07,-670.0747544,23498.70351
2.08,-668.5091366,23384.1216
2.09,-666.3761505,23270.98782
2.1,-665.9025352,23159.52386
2.11,-664.0586514,23047.69217
2.12,-663.4009326,22937.99304
2.13,-661.2386967,22828.09582
2.14,-659.8151282,22720.76778
2.15,-658.7044453,22613.84658
2.16,-657.5461277,22507.71874
2.17,-656.266878,22402.45759
2.18,-654.7956633,22298.13414
2.19,-652.7914898,22195.11446
2.2,-652.3353389,22093.59814
2.21,-650.6047707,21991.68632
2.22,-649.9887359,21891.70511
2.23,-647.9773692,21791.48218
2.24,-646.6687382,21693.59502
2.25,-645.6666897,21596.0241
2.26,-644.6399298,21499.12603
2.27,-643.5287528,21402.96058
2.28,-642.2884614,21307.57119
2.29,-640.8624731,21213.01443
2.3,-638.9392757,21119.62617
2.31,-638.4548788,21027.58722
2.32,-636.7875928,20935.1356
2.33,-636.1613556,20844.42862
2.34,-634.2418764,20753.44982
2.35,-632.9835782,20664.59279
2.36,-632.0169929,20575.98009
2.37,-631.0353377,20487.94334
2.38,-629.9839532,20400.53791
2.39,-628.8221483,20313.80392
2.4,-627.4982904,20227.79359
2.41,-625.7237218,20142.81946
2.42,-625.304945,20059.04665
2.43,-623.7994444,19974.83323
2.44,-623.2881388,19892.18287
2.45,-621.60145,19809.20765
2.46,-620.589706,19728.1119
2.47,-620.1552958,19646.87142
2.48,-618.2247565,19565.68566
2.49,-616.8228453,19486.48999
2.5,-615.6058696,19407.56949
2.51,-614.056297,19329.48969
2.52,-613.865865,19252.41315
2.53,-612.9513385,19174.56073
2.54,-611.3296394,19097.95062
2.55,-610.9127436,19022.46661
2.56,-609.4644885,18946.57061
2.57,-608.9168834,18872.10519
2.58,-607.258699,18797.33178
2.59,-606.1854924,18724.3071
2.6,-605.3787127,18651.40905
2.61,-604.5787987,18578.9205
2.62,-603.7446249,18506.88367
2.63,-602.8513766,18435.32287
2.64,-601.8781587,18364.25812
2.65,-600.8012631,18293.71262
2.66,-599.582455,18223.72562
2.67,-597.9785957,18154.56268
2.68,-597.5401703,18086.35997
2.69,-596.1715574,18017.71592
2.7,-595.6617669,17950.3442
2.71,-594.1418957,17882.63459
2.72,-593.1939358,17816.4885
2.73,-592.5386193,17750.38071
2.74,-592.1442464,17684.34342
2.75,-590.4374212,17618.33225
2.76,-589.15891,17553.99324
2.77,-587.8295422,17490.06217
2.78,-587.7228217,17426.8809
2.79,-587.0431212,17362.91707
2.8,-585.9979345,17299.702
2.81,-584.5699758,17237.25262
2.82,-584.2158603,17175.67031
2.83,-583.0039487,17113.64902
2.84,-582.603403,17052.76252
2.85,-581.2995446,16991.50124
2.86,-580.7549743,16931.40994
2.87,-579.2603975,16871.00925
2.88,-578.2672806,16812.04235
2.89,-577.5026857,16753.12807
2.9,-576.7476106,16694.50716
2.91,-575.9675683,16636.21581
2.92,-575.1408521,16578.27612
2.93,-574.2467628,16520.70907
2.94,-573.2545297,16463.54688
2.95,-571.9611536,16407.01306
2.96,-571.7160345,16351.20517
2.97,-570.890049,16294.72605
2.98,-569.5067809,16239.15429
2.99,-569.0678149,16184.39388
3,-567.8019936,16129.25434
3.01,-567.0718337,16075.36087
3.02,-566.7984685,16021.2245
3.03,-565.456134,15966.9965
3.04,-564.5563147,15914.08967
3.05,-563.8593758,15861.21719
3.06,-563.1691907,15808.59554
3.07,-562.4566967,15756.25543
3.08,-561.703551,15704.21566
3.09,-560.8918752,15652.49454
3.1,-559.994319,15601.12098
3.11,-558.8247623,15550.30078
3.12,-558.6306134,15500.1211
3.13,-557.9071865,15449.29248
3.14,-556.6808179,15399.27016
3.15,-556.343751,15349.9583
3.16,-555.2698109,15300.24578
3.17,-554.8777857,15251.45801
3.18,-553.7040734,15202.33061
3.19,-553.0116719,15154.33521
3.2,-552.7312868,15106.1031
3.21,-551.4678313,15057.77236
3.22,-550.6100966,15010.63369
3.23,-549.9375759,14963.50737
3.24,-549.2716848,14916.59145
3.25,-548.5864138,14869.91367
3.26,-547.865422,14823.49101
3.27,-547.0926938,14777.34008
3.28,-546.2434581,14731.48734
3.29,-545.1473354,14686.12205
3.3,-544.950557,14641.32233
3.31,-544.2692237,14595.90596
3.32,-543.1297953,14551.20973
3.33,-542.8120683,14507.14358
3.34,-541.8195403,14462.68861
3.35,-541.4592915,14419.06111
3.36,-540.3832656,14375.10049
3.37,-539.7560851,14332.15849
3.38,-539.5124274,14288.97562
3.39,-538.3685841,14245.68064
3.4,-537.6057462,14203.45937
3.41,-537.0198691,14161.22532
3.42,-536.4479215,14119.16007
3.43,-535.8676361,14077.28752
3.44,-535.2667674,14035.62038
3.45,-534.6360582,13994.168
3.46,-533.9664442,13952.93955
3.47,-533.2463359,13911.94702
3.48,-532.4549611,13871.21276
3.49,-531.4380643,13830.90895
3.5,-531.2453052,13791.10417
3.51,-530.6096648,13750.71849
3.52,-529.5583764,13710.97398
3.53,-529.2638891,13671.78505
3.54,-528.3561838,13632.21977
3.55,-528.0378031,13593.38578
3.56,-527.0811229,13554.21231
3.57,-526.6840055,13515.79135
3.58,-525.6198513,13477.07183
3.59,-524.9397823,13439.29014
3.6,-524.4488234,13401.45251
3.61,-524.0065141,13363.716
3.62,-523.7281712,13325.94993
3.63,-522.595779,13288.11668
3.64,-521.7759891,13251.27254
3.65,-521.0749522,13214.44733
3.66,-520.2124123,13177.95578
3.67,-520.1566523,13141.87022
3.68,-519.7351373,13105.1782
3.69,-519.1075882,13068.86763
3.7,-518.3907649,13032.80624
3.71,-517.4575577,12997.13658
3.72,-517.2703563,12961.91361
3.73,-516.6743983,12926.15233
3.74,-515.6977984,12890.96585
3.75,-515.4105378,12856.27377
3.76,-514.5602752,12821.22896
3.77,-514.2446144,12786.84255
3.78,-513.3332674,12752.14792
3.79,-512.8060883,12718.27114
3.8,-512.6059522,12684.15729
3.81,-511.6596726,12649.91634
3.82,-511.0472226,12616.53486
3.83,-510.5994718,12583.09755
3.84,-510.1931514,12549.74294
3.85,-509.9356533,12516.34895
3.86,-508.9016311,12482.88069
3.87,-508.1593784,12450.29474
3.88,-507.5386057,12417.69844
3.89,-506.8968025,12385.25226
3.9,-506.0938386,12353.11411
3.91,-506.0174746,12321.33899
3.92,-505.6030676,12289.0066
3.93,-504.9982795,12257.01347
3.94,-504.3082527,12225.24006
3.95,-503.4150202,12193.81937
3.96,-503.1859114,12162.80898
3.97,-502.4577702,12131.44083
3.98,-502.2432524,12100.64427
3.99,-501.5072598,12069.52212
4,-501.2656505,12038.98439
4.01,-500.4940285,12008.13742
4.02,-500.1999351,11977.88511
4.03,-499.359619,11947.34859
4.04,-498.8666566,11917.54563
4.05,-498.6683508,11887.51765
4.06,-497.7910828,11857.3658
4.07,-497.2181284,11827.98351
4.08,-496.7943534,11798.53961
4.09,-496.408209,11769.16014
4.1,-496.1569428,11739.73413
4.11,-495.1983611,11710.23255
4.12,-494.5037443,11681.52548
4.13,-493.9099984,11652.80903
4.14,-493.1868106,11624.34436
4.15,-493.1394068,11596.18698
4.16,-492.7926357,11567.49884
4.17,-492.2855684,11539.09609
4.18,-491.7223514,11510.85991
4.19,-491.098959,11482.79443
4.2,-490.3044618,11455.02537
4.21,-490.13532,11427.59695
4.22,-489.6303726,11399.69722
4.23,-488.8169463,11372.24893
4.24,-488.5836168,11345.18112
4.25,-487.8889683,11317.79369
4.26,-487.651428,11290.91912
4.27,-486.9356713,11263.74996
4.28,-486.6587676,11237.10695
4.29,-485.8874027,11210.19363
4.3,-485.4363573,11183.93413
4.31,-485.2558458,11157.45663
4.32,-484.4600516,11130.85501
4.33,-483.9460062,11104.9403
4.34,-483.5712054,11078.95596
4.35,-483.2349843,11053.01632
4.36,-483.0267124,11027.01899
4.37,-482.1806061,11000.9373
4.38,-481.5870824,10975.5581
4.39,-481.1052655,10950.13861
4.4,-480.6265334,10924.80238
4.41,-480.134063,10899.56823
4.42,-479.6112751,10874.45472
4.43,-478.9523297,10849.58237
4.44,-478.8934458,10824.9891
4.45,-478.5552458,10799.91748
4.46,-478.0646248,10775.10453
4.47,-477.509783,10750.44913
4.48,-476.7969239,10726.05818
4.49,-476.6509887,10701.96738
4.5,-476.1996297,10677.44102
4.51,-475.4703366,10653.31526
4.52,-475.2700439,10629.52318
4.53,-474.6526277,10605.43096
4.54,-474.454657,10581.79131
4.55,-473.8263101,10557.87171
4.56,-473.6049994,10534.41254
4.57,-472.9478139,10510.68471
4.58,-472.6854978,10487.42497
4.59,-471.9745995,10463.91608
4.6,-471.5531784,10440.98983
4.61,-471.3745469,10417.85918
4.62,-470.6387849,10394.61107
4.63,-470.1574301,10371.97667
4.64,-469.7983759,10349.27498
4.65,-469.4655491,10326.61576
4.66,-469.1554083,10304.00277
4.67,-468.954676,10281.33619
4.68,-468.1752557,10258.59132
4.69,-467.6223254,10236.47445
4.7,-467.1670184,10214.31666
4.71,-466.7102749,10192.23131
4.72,-466.2316765,10170.24156
4.73,-465.6339686,10148.45878
4.74,-465.5834478,10126.91634
4.75,-465.281907,10104.93043
4.76,-464.8461607,10083.16801
4.77,-464.3563908,10061.53673
4.78,-463.7289249,10040.13249
4.79,-463.623534,10018.98326
4.8,-463.2541841,9997.416584
4.81,-462.7303438,9976.095474
4.82,-462.0477881,9955.024589
4.83,-461.8551316,9934.234668
4.84,-461.2898286,9913.161084
4.85,-461.1086805,9892.484674
4.86,-460.5403584,9871.545634
4.87,-460.3442299,9851.0122
4.88,-459.7555748,9830.226595
4.89,-459.5284569,9809.853587
4.9,-458.8977632,9789.2454
4.91,-458.5346679,9769.152799
4.92,-458.3964945,9748.861477
4.93,-457.7614856,9728.448705
4.94,-457.3744934,9708.566402
4.95,-457.197915,9688.501265
4.96,-456.5157803,9668.331023
4.97,-456.0590793,9648.709732
4.98,-455.7066959,9629.027174
4.99,-455.370007,9609.385275
5,-455.0381305,9589.796352
5.01,-454.7058398,9570.266204
5.02,-454.3699157,9550.798322
5.03,-454.0280349,9531.395164
5.04,-453.6783107,9512.058689
5.05,-453.3190491,9492.790634
5.06,-452.9485795,9473.592713
5.07,-452.5650881,9454.466807
5.08,-452.166386,9435.415233
5.09,-451.7494756,9416.441245
5.1,-451.3095065,9397.550241
5.11,-450.8363409,9378.753734
5.12,-450.2462175,9360.148348
5.13,-450.1291942,9341.763034
5.14,-449.768973,9323.000955
5.15,-449.1930036,9304.543658
5.16,-449.0665389,9286.326761
5.17,-448.6865113,9267.750685
5.18,-448.0813587,9249.489752
5.19,-447.906271,9231.484872
5.2,-447.3918206,9213.225677
5.21,-447.2207651,9195.318345
5.22,-446.7002998,9177.172001
5.23,-446.5142017,9159.383544
5.24,-445.97463,9141.364434
5.25,-445.7604937,9123.709174
5.26,-445.1830487,9105.838284
5.27,-444.8469327,9088.424381
5.28,-444.7115079,9070.82664
5.29,-444.127073,9053.117951
5.3,-443.7602803,9035.887328
5.31,-443.5069634,9018.573375
5.32,-443.3629659,9001.180658
5.33,-442.7570653,8983.699065
5.34,-442.352077,8966.70659
5.35,-442.0403226,8949.653499
5.36,-441.7447242,8932.629027
5.37,-441.458569,8915.640784
5.38,-441.1841557,8898.685926
5.39,-440.9919751,8881.682408
5.4,-440.3267807,8864.615111
5.41,-439.8341926,8848.055567
5.42,-439.3353463,8831.549703
5.43,-439.3002135,8815.20578
5.44,-439.070894,8798.477165
5.45,-438.7458347,8781.905666
5.46,-438.3957528,8765.408958
5.47,-438.0246562,8748.982231
5.48,-437.6307525,8732.627418
5.49,-437.2062079,8716.353481
5.5,-436.6768333,8700.246578
5.51,-436.5726307,8684.330572
5.52,-436.2495827,8668.071537
5.53,-435.7344257,8652.080676
5.54,-435.6245118,8636.29812
5.55,-435.2872927,8620.187128
5.56,-434.750558,8604.352585
5.57,-434.6034813,8588.738798
5.58,-434.1550143,8572.887585
5.59,-434.0248611,8557.336468
5.6,-433.6523029,8541.482301
5.61,-433.0646526,8525.922176
5.62,-432.7794236,8510.675172
5.63,-432.6951105,8495.233711
5.64,-432.2235553,8479.664186
5.65,-432.0373114,8464.422259
5.66,-431.5231352,8448.986211
5.67,-431.2259417,8433.953894
5.68,-431.1089834,8418.750379
5.69,-430.5926977,8403.440566
5.7,-430.2801322,8388.544678
5.71,-430.1381722,8373.488338
5.72,-429.5912042,8358.336863
5.73,-429.2322033,8343.612498
5.74,-428.9620814,8328.822668
5.75,-428.7127621,8314.046711
5.76,-428.4823325,8299.286722
5.77,-428.3337218,8284.469018
5.78,-427.7678662,8269.579369
5.79,-427.3748185,8255.124348
5.8,-427.0581817,8240.617576
5.81,-426.7495412,8226.138882
5.82,-426.4408428,8211.697554
5.83,-426.1278646,8197.298405
5.84,-425.8072045,8182.945295
5.85,-425.4747276,8168.642941
5.86,-425.12263,8154.400359
5.87,-424.6844259,8140.295246
5.88,-424.6426194,8126.345302
5.89,-424.4185535,8112.061055
5.9,-424.1028276,8097.920431
5.91,-423.7570196,8083.851243
5.92,-423.3797294,8069.855027
5.93,-422.9071364,8056.006441
5.94,-422.8132571,8042.323998
5.95,-422.5224516,8028.332575
5.96,-422.060772,8014.577036
5.97,-421.961602,8001.001857
5.98,-421.6588412,7987.129499
5.99,-421.1793227,7973.499681
6,-421.0494385,7960.060617
6.01,-420.6508655,7946.404696
6.02,-420.5396598,7933.009455
6.03,-420.21428,7919.336005
6.04,-419.7048021,7905.913319
6.05,-419.5302728,7892.690914
6.06,-419.0746104,7879.272814
6.07,-418.8256159,7866.202567
6.08,-418.7479221,7852.962702
6.09,-418.3222006,7839.609529
6.1,-418.1498326,7826.544926
6.11,-417.6837038,7813.305877
6.12,-417.4110203,7800.422856
6.13,-417.297031,7787.384383
6.14,-416.8245863,7774.251282
6.15,-416.52908,7761.489276
6.16,-416.3249021,7748.65066
6.17,-416.2093717,7735.73843
6.18,-415.7267226,7722.746808
6.19,-415.4105938,7710.132845
6.2,-415.1740429,7697.45565
6.21,-414.9611245,7684.780917
6.22,-414.8242304,7672.04687
6.23,-414.3167935,7659.243685
6.24,-413.9665789,7646.822119
6.25,-413.6859368,7634.348569
6.26,-413.4141229,7621.894442
6.27,-413.1441884,7609.467828
6.28,-412.8727997,7597.072558
6.29,-412.5977463,7584.711149
6.3,-412.317115,7572.385764
6.31,-412.0287585,7560.098847
6.32,-411.7294949,7547.854063
6.33,-411.4127091,7535.659126
6.34,-411.0196963,7523.583173
6.35,-410.9800376,7511.640241
6.36,-410.7773626,7499.396516
6.37,-410.4939284,7487.276868
6.38,-410.1843794,7475.216777
6.39,-409.8475556,7463.217536
6.4,-409.426938,7451.345775
6.41,-409.3449947,7439.616348
6.42,-409.0875269,7427.607699
6.43,-408.6796621,7415.804942
6.44,-408.5969489,7404.156556
6.45,-408.333818,7392.238061
6.46,-407.9171137,7380.529045
6.47,-407.8195992,7368.977562
6.48,-407.5389776,7357.162461
6.49,-407.1008204,7345.561361
6.5,-406.9707079,7334.127137
6.51,-406.5984477,7322.502387
6.52,-406.4745672,7311.112519
6.53,-406.1021174,7299.541896
6.54,-405.9729987,7288.209639
6.55,-405.5936396,7276.700776
6.56,-405.4540213,7265.432059
6.57,-405.0625245,7253.990833
6.58,-404.9058326,7242.793148
6.59,-404.4910561,7231.432446
6.6,-404.2532818,7220.381299
6.61,-404.1598661,7209.183833
6.62,-403.7506486,7197.894861
6.63,-403.5080539,7186.924162
6.64,-403.4029903,7175.814937
6.65,-402.978715,7164.621434
6.66,-402.7116717,7153.753801
6.67,-402.5247258,7142.815442
6.68,-402.4156345,7131.808894
6.69,-401.9802049,7120.730712
6.7,-401.6927806,7109.984698
6.71,-401.4738061,7099.181442
6.72,-401.2708369,7088.383044
6.73,-401.0828495,7077.590641
6.74,-400.9594655,7066.745272
6.75,-400.5064765,7055.838342
6.76,-400.1933347,7045.266434
6.77,-399.9412521,7034.64558
6.78,-399.696911,7024.038982
6.79,-399.4543355,7013.453665
6.8,-399.2106988,7002.892919
6.81,-398.9641419,6992.358886
6.82,-398.7130548,6981.853415
6.83,-398.4556129,6971.37861
6.84,-398.1890748,6960.937666
6.85,-397.9076681,6950.537383
6.86,-397.559619,6940.239244
6.87,-397.52628,6930.054116
6.88,-397.3480421,6919.598731
6.89,-397.0995177,6909.249638
6.9,-396.8291726,6898.949163
6.91,-396.5363028,6888.698092
6.92,-396.1715143,6878.555137
6.93,-396.1113838,6868.530584
6.94,-395.9010138,6858.247782
6.95,-395.6100316,6848.083274
6.96,-395.2375522,6838.038089
6.97,-395.1598598,6828.118763
6.98,-394.9241069,6817.954206
6.99,-394.5548329,6807.970782
7,-394.4710299,6798.121134
7.01,-394.2254998,6788.033371
7.02,-393.8428127,6778.130966
7.03,-393.7366834,6768.36982
7.04,-393.4186496,6758.4331
7.05,-393.3293563,6748.692555
7.06,-393.0711689,6738.726957
7.07,-392.6714733,6728.951736
7.08,-392.5398672,6719.322716
7.09,-392.1917022,6709.528204
7.1,-392.0585634,6699.941153
7.11,-391.6988523,6690.202342
7.12,-391.5018889,6680.731386
7.13,-391.4379535,6671.121084
7.14,-391.1001531,6661.418109
7.15,-390.9637996,6651.933832
7.16,-390.596379,6642.307584
7.17,-390.3846195,6632.952759
7.18,-390.2987138,6623.466779
7.19,-389.9333391,6613.899257
7.2,-389.7158307,6604.609575
7.21,-389.6190083,6595.194695
7.22,-389.2400915,6585.704037
7.23,-389.0012219,6576.497705
7.24,-388.8329221,6567.225888
7.25,-388.7333267,6557.890721
7.26,-388.345475,6548.490609
7.27,-388.0898845,6539.380369
7.28,-387.8948915,6530.216328
7.29,-387.7144659,6521.05348
7.3,-387.5477673,6511.892772
7.31,-387.4385084,6502.681823
7.32,-387.0381595,6493.414441
7.33,-386.7633457,6484.439436
7.34,-386.5430654,6475.417538
7.35,-386.3305283,6466.404704
7.36,-386.120624,6457.407004
7.37,-385.9110685,6448.427124
7.38,-385.7005255,6439.466616
7.39,-385.4880542,6430.526562
7.4,-385.2728853,6421.607837
7.41,-385.0543004,6412.711256
7.42,-384.8315353,6403.837691
7.43,-384.6036606,6394.98821
7.44,-384.3693626,6386.164345
7.45,-384.1264072,6377.368732
7.46,-383.8698207,6368.607295
7.47,-383.554334,6359.934301
7.48,-383.5149997,6351.357966
7.49,-383.3460503,6342.543741
7.5,-383.1136354,6333.823309
7.51,-382.8573913,6325.149077
7.52,-382.5367662,6316.569693
7.53,-382.4847694,6308.091579
7.54,-382.2994686,6299.38386
7.55,-382.0441207,6290.777678
7.56,-381.7184484,6282.273354
7.57,-381.6554193,6273.874002
7.58,-381.4568644,6265.250763
7.59,-381.1854033,6256.732374
7.6,-380.8395522,6248.320607
7.61,-380.7459449,6240.022881
7.62,-380.4674126,6231.563684
7.63,-380.3951315,6223.272121
7.64,-380.1744935,6214.776597
7.65,-379.8312563,6206.445523
7.66,-379.7288591,6198.237982
7.67,-379.4366024,6189.878656
7.68,-379.3401182,6181.695418
7.69,-379.04926,6173.367308
7.7,-378.9508771,6165.217613
7.71,-378.6572163,6156.925611
7.72,-378.5540096,6148.812828
7.73,-378.2550883,6140.559734
7.74,-378.1446387,6132.486627
7.75,-377.8376408,6124.275678
7.76,-377.7159711,6116.246892
7.77,-377.3934981,6108.086849
7.78,-377.2128387,6100.15982
7.79,-377.1466744,6092.109692
7.8,-376.8396501,6083.978738
7.81,-376.7087495,6076.037068
7.82,-376.3741674,6067.971208
7.83,-376.1757678,6060.141239
7.84,-376.0854611,6052.195618
7.85,-375.7478911,6044.180502
7.86,-375.5359224,6036.411729
7.87,-375.3868391,6028.581704
7.88,-375.2990332,6020.692295
7.89,-374.9580342,6012.743387
7.9,-374.7361671,6005.045587
7.91,-374.5697034,5997.295387
7.92,-374.4207398,5989.538496
7.93,-374.3251046,5981.731591
7.94,-373.9738262,5973.871662
7.95,-373.7361129,5966.265816
7.96,-373.5476921,5958.614736
7.97,-373.3673494,5950.968171
7.98,-373.1905685,5943.331541
7.99,-373.0153597,5935.707215
8,-372.8406042,5928.096512
8.01,-372.6655708,5920.500281
8.02,-372.4897288,5912.91913
8.03,-372.3126621,5905.35353
8.04,-372.134023,5897.803867
8.05,-371.953505,5890.27048
8.06,-371.7708242,5882.753681
8.07,-371.5857054,5875.253769
8.08,-371.3978695,5867.771051
8.09,-371.2070191,5860.305856
8.1,-371.0128216,5852.858553
8.11,-370.8148823,5845.429591
8.12,-370.6127011,5838.019544
8.13,-370.4055907,5830.629214
8.14,-370.1924985,5823.259845
8.15,-369.9715483,5815.913682
8.16,-369.7384661,5808.595876
8.17,-369.4539962,5801.35398
8.18,-369.410655,5794.193703
8.19,-369.2527452,5786.824865
8.2,-369.0393805,5779.53678
8.21,-368.8047766,5772.287945
8.22,-368.5133677,5765.121478
8.23,-368.4553203,5758.042516
8.24,-368.2756604,5750.766664
8.25,-367.9965969,5743.624794
