J_kSalt_30K_v8_w,eps1,eps2
0,-1003696.361,3449131.011
0.01,-1003696.361,3449131.011
0.02,-136994.3682,2345647.803
0.03,-50202.33963,1610248.879
0.04,-25570.65923,1220276.427
0.05,-15759.80669,981329.6631
0.06,-11127.80821,820140.2319
0.07,-8357.162798,704087.5453
0.08,-6793.471054,616803.1611
0.09,-5587.356602,548573.6827
0.1,-4892.121955,494034.211
0.11,-4306.531837,449186.9057
0.12,-3844.739457,411850.6434
0.13,-3541.137992,380231.6231
0.14,-3225.904758,353066.6651
0.15,-3025.908913,329581.9767
0.16,-2853.154956,308969.9424
0.17,-2710.351704,290778.1579
0.18,-2542.885046,274594.8356
0.19,-2427.750347,260163.1039
0.2,-2360.565601,247150.6051
0.21,-2288.746344,235341.7216
0.22,-2204.356469,224603.5468
0.23,-2106.840408,214816.0827
0.24,-2074.394703,205862.6897
0.25,-1986.680013,197575.5829
0.26,-1937.455847,189983.149
0.27,-1898.356041,182923.1938
0.28,-1853.155384,176362.5613
0.29,-1796.707051,170262.3832
0.3,-1775.221093,164584.0195
0.31,-1740.931926,159242.8396
0.32,-1704.133092,154247.8086
0.33,-1679.877902,149555.3712
0.34,-1641.134323,145128.272
0.35,-1604.038298,140970.689
0.36,-1583.123117,137046.8215
0.37,-1555.946184,133325.8228
0.38,-1545.487403,129804.9835
0.39,-1506.960371,126449.7368
0.4,-1496.592699,123289.1283
0.41,-1472.904052,120258.4309
0.42,-1461.625689,117383.7921
0.43,-1432.502687,114628.8081
0.44,-1410.615514,112017.2748
0.45,-1391.742924,109517.3553
0.46,-1369.269785,107129.4309
0.47,-1365.312518,104849.1871
0.48,-1354.76357,102646.9388
0.49,-1341.593906,100538.853
0.5,-1332.32861,98513.27357
0.51,-1308.403085,96563.13123
0.52,-1293.320199,94704.06973
0.53,-1287.671773,92908.98426
0.54,-1274.13279,91172.14818
0.55,-1259.051986,89504.64317
0.56,-1246.337746,87899.0689
0.57,-1239.558446,86348.58191
0.58,-1225.939647,84845.54732
0.59,-1211.549102,83399.84006
0.6,-1200.111488,82004.92841
