J_kSalt_15K_v8_w,eps1,eps2
1.87,-1297.937681,40092.60048
1.88,-1294.714128,39876.23515
1.89,-1291.802824,39662.42223
1.9,-1288.630497,39450.5931
1.91,-1285.768965,39241.28765
1.92,-1282.922813,39033.65648
1.93,-1280.110437,38828.80552
1.94,-1277.313505,38625.60521
1.95,-1274.268576,38424.88316
1.96,-1271.521724,38226.06192
1.97,-1268.519175,38029.13991
1.98,-1265.813317,37834.09724
1.99,-1263.132245,37641.20231
2,-1260.475995,37450.44247
2.01,-1257.835389,37261.25914
2.02,-1254.94272,37073.92097
2.03,-1252.076331,36888.6847
2.04,-1249.502613,36705.26248
2.05,-1246.944643,36523.37848
2.06,-1244.411675,36343.5639
2.07,-1241.630144,36165.5424
2.08,-1239.129468,35988.75818
2.09,-1236.390825,35814.28523
2.1,-1233.931767,35641.03254
2.11,-1231.497855,35469.79805
2.12,-1228.809504,35299.77757
2.13,-1226.408112,35131.48633
2.14,-1223.762841,34964.92408
2.15,-1221.66254,34799.80363
2.16,-1219.050547,34636.136
2.17,-1216.723093,34474.16248
2.18,-1214.145072,34313.35905
2.19,-1211.593635,34154.49979
2.2,-1209.315689,33996.78672
2.21,-1207.053883,33840.47924
2.22,-1204.55328,33685.8344
2.23,-1202.32442,33532.31597
2.24,-1199.857989,33380.44474
2.25,-1197.662155,33229.68695
2.26,-1195.482573,33080.29924
2.27,-1193.319267,32932.27464
2.28,-1190.9208,32785.86702
2.29,-1188.530493,32640.29652
2.3,-1186.667612,32496.06038
2.31,-1184.311135,32353.17043
2.32,-1181.97216,32211.61063
2.33,-1179.899348,32071.11634
2.34,-1177.585545,31931.69187
2.35,-1175.546149,31793.82738
2.36,-1173.513895,31656.76433
2.37,-1171.251664,31521.25749
2.38,-1168.997685,31386.54235
2.39,-1167.261408,31253.10646
2.4,-1164.787368,31120.71723
2.41,-1162.83,30989.59555
2.42,-1160.879872,30859.2475
2.43,-1158.703061,30730.41846
2.44,-1156.53456,30602.35366
2.45,-1154.625976,30475.29225
2.46,-1152.734048,30349.48069
2.47,-1150.608211,30224.67162
2.48,-1148.740805,30100.85113
2.49,-1146.880749,29977.77446
2.5,-1144.788336,29855.68768
2.51,-1142.96226,29735.06475
2.52,-1140.895479,29614.93396
2.53,-1138.846464,29496.01792
2.54,-1137.05298,29378.06363
2.55,-1135.266936,29260.82945
2.56,-1133.251561,29144.55864
2.57,-1131.490305,29029.23749
2.58,-1129.500704,28914.87108
2.59,-1127.519547,28801.2104
2.6,-1125.791119,28688.48748
2.61,-1124.079615,28576.94191
2.62,-1122.1323,28465.85685
2.63,-1120.202867,28355.94076
2.64,-1118.514945,28246.47021
2.65,-1116.844011,28138.16034
2.66,-1114.94856,28030.77357
2.67,-1113.29328,27923.82366
2.68,-1111.414409,27817.79052
2.69,-1109.784249,27712.66068
2.7,-1107.691677,27608.20924
2.71,-1106.077705,27504.41467
2.72,-1104.480833,27401.75206
2.73,-1102.653216,27299.51971
2.74,-1101.07216,27198.17344
2.75,-1099.270687,27097.71878
2.76,-1097.705491,26997.67758
2.77,-1095.92076,26898.52196
2.78,-1094.144625,26800.0118
2.79,-1092.612961,26702.37096
2.8,-1090.853616,26605.14365
2.81,-1089.33792,26508.77976
2.82,-1087.604859,26413.28498
2.83,-1086.105175,26318.18717
2.84,-1084.388976,26223.95267
2.85,-1082.681425,26130.3444
2.86,-1081.206039,26037.12692
2.87,-1079.515396,25944.76416
2.88,-1078.0656,25853.243
2.89,-1076.391899,25762.11522
2.9,-1074.72688,25671.60152
2.91,-1073.301536,25581.921
2.92,-1071.653505,25492.62789
2.93,-1070.014176,25403.94171
2.94,-1068.613368,25316.08043
2.95,-1066.991073,25228.60066
2.96,-1065.606541,25141.94034
2.97,-1064.001312,25055.65767
2.98,-1062.404819,24969.97026
2.99,-1061.044965,24885.09421
3,-1059.465584,24800.59008
3.01,-1057.894959,24716.67436
3.02,-1056.333096,24633.34479
3.03,-1054.99688,24550.37272
3.04,-1053.452187,24468.20908
3.05,-1052.132411,24386.39922
3.06,-1050.60492,24305.3926
3.07,-1049.301624,24224.73607
3.08,-1047.781833,24144.43806
3.09,-1046.280384,24065.15101
3.1,-1044.778213,23985.99428
3.11,-1043.498807,23907.18182
3.12,-1042.237053,23829.3724
3.13,-1040.537865,23751.69925
3.14,-1039.283525,23674.57859
3.15,-1038.037323,23598.01784
3.16,-1036.365373,23522.02444
3.17,-1035.136179,23446.57718
3.18,-1033.905593,23371.25102
3.19,-1032.472056,23296.69847
3.2,-1031.037829,23222.26494
3.21,-1029.832485,23148.59131
