0,-4967251.673,2385392.427
0.01,-4967251.673,2385392.427
0.02,-1563113.71,878911.007
0.03,-780080.8083,478093.8761
0.04,-476152.9881,311265.5773
0.05,-324763.7021,223846.9225
0.06,-237616.085,171422.4118
0.07,-182466.8523,137070.321
0.08,-145152.8275,113106.6508
0.09,-118617.6208,95593.01796
0.1,-99005.88843,82323.48084
0.11,-84060.328,71976.58416
0.12,-72381.20318,63718.60096
0.13,-63063.58886,56997.83216
0.14,-55497.12842,51438.12694
0.15,-49260.4639,46774.17196
0.16,-44052.6438,42813.93862
0.17,-39653.61441,39415.3236
0.18,-35900.67478,36471.54834
0.19,-32670.43722,33900.72228
0.2,-29867.32877,31638.67771
0.21,-27418.1136,29635.4229
0.22,-25263.71075,27850.46095
0.23,-23357.71204,26251.51827
0.24,-21662.60984,24812.12353
0.25,-20147.16923,23510.34803
0.26,-18786.35872,22328.095
0.27,-17559.50485,21250.41899
0.28,-16448.96154,20264.48951
0.29,-15440.01404,19359.49711
0.3,-14520.26574,18526.25451
0.31,-13679.68227,17757.05904
0.32,-12908.69113,17044.87957
0.33,-12199.74996,16383.89828
0.34,-11546.33241,15769.10428
0.35,-10942.38334,15195.87497
0.36,-10382.96539,14660.35718
0.37,-9863.94661,14159.21508
0.38,-9380.997803,13689.13391
0.39,-8930.933739,13247.56827
0.4,-8510.795508,12832.08844
0.41,-8117.97832,12440.61678
0.42,-7749.835853,12071.06674
0.43,-7404.478554,11721.85758
0.44,-7079.737938,11391.24046
0.45,-6774.343097,11078.05408
0.46,-6486.466608,10780.88929
0.47,-6214.785441,10498.59815
0.48,-5958.07607,10230.17289
0.49,-5715.220068,9974.670053
0.5,-5485.189239,9731.178095
0.51,-5267.058894,9498.948031
0.52,-5059.991302,9277.235351
0.53,-4863.206425,9065.380686
0.54,-4675.981048,8862.760019
0.55,-4497.729681,8668.834214
0.56,-4327.791638,8483.066695
0.57,-4165.679852,8305.004074
0.58,-4010.855263,8134.18527
0.59,-3862.868081,7970.204803
0.6,-3721.3206,7812.690849
0.61,-3585.78222,7661.295468
0.62,-3455.907044,7515.680296
0.63,-3331.360081,7375.558105
0.64,-3211.815365,7240.625847
0.65,-3097.000666,7110.657898
0.66,-2986.630213,6985.377326
0.67,-2880.46397,6864.558554
0.68,-2778.243086,6748.025235
0.69,-2679.765849,6635.535182
0.7,-2584.838513,6526.914062
0.71,-2493.22855,6422.000965
0.72,-2404.794249,6320.635346
0.73,-2319.327076,6222.650945
0.74,-2236.701776,6127.918462
0.75,-2156.749006,6036.297596
0.76,-2079.318482,5947.660508
0.77,-2004.290829,5861.900669
0.78,-1931.537985,5778.905031
0.79,-1860.90554,5698.579153
0.8,-1792.320853,5620.829224
0.81,-1725.625154,5545.555686
0.82,-1660.746704,5472.702425
0.83,-1597.567505,5402.178731
0.84,-1535.967253,5333.928361
0.85,-1475.870369,5267.889946
0.86,-1417.182706,5204.00619
0.87,-1359.785904,5142.25536
0.88,-1303.581956,5082.592355
0.89,-1248.477633,5024.992702
0.9,-1194.372675,4969.443073
0.91,-1141.13978,4915.943064
0.92,-1088.678004,4864.528533
0.93,-1036.838857,4815.248754
0.94,-985.4576819,4768.171909
0.95,-934.3591416,4723.442835
0.96,-883.2776875,4681.288038
0.97,-831.8519966,4642.060998
0.98,-779.5324858,4606.429047
0.99,-725.2070493,4575.835471
1,-662.5301364,4559.659261
1.01,-630.6140589,4562.689576
1.02,-608.0807405,4551.29472
1.03,-588.7096286,4535.334045
1.04,-571.4848316,4516.522819
1.05,-555.8559782,4495.715991
1.06,-541.5166389,4473.419425
1.07,-528.2373744,4450.004609
1.08,-515.8663573,4425.710674
1.09,-504.2674546,4400.716083
1.1,-493.3700699,4375.183735
1.11,-483.0729501,4349.229235
1.12,-473.3205016,4322.936014
1.13,-464.0573849,4296.386328
1.14,-455.2285785,4269.661266
1.15,-446.8231336,4242.792207
1.16,-438.7671384,4215.841032
1.17,-431.0597967,4188.84656
1.18,-423.6444363,4161.831614
1.19,-416.5301389,4134.842711
1.2,-409.6694715,4107.892181
1.21,-403.0621328,4081.016999
1.22,-396.6699046,4054.219344
1.23,-390.5012791,4027.526075
1.24,-384.519359,4000.95689
1.25,-378.7140411,3974.520959
1.26,-373.0931185,3948.226466
1.27,-367.6203353,3922.092426
1.28,-362.2944062,3896.118227
1.29,-357.1148642,3870.320864
1.3,-352.0628556,3844.700345
1.31,-347.128915,3819.264992
1.32,-342.312796,3794.031322
1.33,-337.612673,3768.980857
1.34,-333.001928,3744.122494
1.35,-328.4895732,3719.480712
1.36,-324.0739776,3695.037021
1.37,-319.7378868,3670.808212
1.38,-315.4887865,3646.784077
1.39,-311.3096061,3622.981194
1.4,-307.1990132,3599.381204
1.41,-303.1652483,3575.991012
1.42,-299.1914755,3552.826935
1.43,-295.2764707,3529.870707
1.44,-291.4197371,3507.121055
1.45,-287.6134592,3484.602124
1.46,-283.8645039,3462.287076
1.47,-280.1730608,3440.191264
1.48,-276.513469,3418.306015
1.49,-272.9026375,3396.645819
1.5,-269.3309355,3375.184865
1.51,-265.7986962,3353.938309
1.52,-262.314079,3332.912615
1.53,-258.851278,3312.082859
1.54,-255.4354402,3291.471223
1.55,-252.0493419,3271.060721
1.56,-248.684983,3250.858447
1.57,-245.3582793,3230.862437
1.58,-242.0528703,3211.071965
1.59,-238.7762807,3191.477401
1.6,-235.5206,3172.085766
1.61,-232.285657,3152.895743
1.62,-229.0789135,3133.897811
1.63,-225.893096,3115.114734
1.64,-222.718726,3096.505991
1.65,-219.5725527,3078.101348
