Freq_cm_merged_15K,ep1,ep2
189.8450687,4.837330506,0.693321937
190.511057,4.762113935,0.709567915
191.1781894,4.640824906,0.68192169
191.8480169,4.553056213,0.59623833
192.5212718,4.517055244,0.501584561
193.8759661,4.486448807,0.311598204
195.2432368,4.578015024,0.164350042
196.6201498,4.660193442,0.084100038
198.0068968,4.746036666,0.036257855
199.4030513,4.814695553,0.015424714
201.5150088,4.883753059,0.015561308
202.935646,4.941625263,0.032329375
205.0850187,5.011736321,0.038451295
207.2568977,5.070776282,0.03262509
210.1877268,5.112293319,0.034474132
212.4132468,5.153903442,0.045401537
215.4171265,5.201509787,0.0661834
217.698424,5.261512192,0.082708094
219.2327406,5.304005226,0.085243646
220.7780086,5.353191996,0.075024855
223.1158003,5.40300355,0.043768182
227.0665042,5.452811247,0.007024684
230.2774618,5.496383825,0.006604708
232.715697,5.540159311,0.016021353
235.1797487,5.584183705,0.020072409
236.8374197,5.634818636,0.020059952
238.5070723,5.698459167,0.032575205
240.1886453,5.768916899,0.051496971
241.0342484,5.820458358,0.066504965
241.8828284,5.87203621,0.09075128
242.7346987,5.936583202,0.125845168
243.5895691,6.000671407,0.174804983
244.4477551,6.077360475,0.235062886
245.3097295,6.183365794,0.346974055
246.1741293,6.249843724,0.536171267
247.9086761,6.163424545,1.057781607
248.7743214,5.851238275,1.197214933
249.6440792,5.636801916,1.199695811
250.5168778,5.446393637,1.150609626
251.3938253,5.310726067,1.090012729
252.2733706,5.184575943,0.952967999
254.943073,5.219040561,0.794269106
255.8383865,5.179398329,0.802358399
256.7360436,5.11248561,0.797402999
257.636047,5.026147682,0.753423378
258.5395278,4.963369804,0.666147548
260.3587658,4.940381715,0.453219118
261.2761941,5.028203589,0.379204167
262.1963645,5.088978846,0.370220467
263.1191192,5.125118517,0.368880541
264.0454508,5.169417339,0.399049161
265.9039292,5.115555793,0.438244803
266.8375688,5.076988017,0.414631299
268.7160347,5.054640794,0.306878062
269.6619025,5.101505464,0.252967182
270.6112684,5.152120844,0.218408756
271.5651622,5.242458718,0.220017823
272.5217386,5.305404229,0.27045124
274.4434713,5.363986544,0.453565711
275.4067514,5.290448173,0.560605224
276.372206,5.180198403,0.619517808
277.3400073,5.045168537,0.624377578
278.3108506,4.915513071,0.557832541
279.2864857,4.84533703,0.42409239
283.2371249,4.956979069,0.112603535
284.2344608,5.010906337,0.076095208
285.2345969,5.04068068,0.061902357
286.2382522,5.070600438,0.040474956
287.2454391,5.100495414,0.014305473
288.2567093,5.14819513,0.004821906
289.2711789,5.184078683,0.018925308
290.2897619,5.238206431,0.029888705
291.3117499,5.286656202,0.035003587
292.338065,5.360037092,0.028352001
293.3678131,5.427959745,0.001756167
294.4030872,5.516196021,0.050317052
295.2019899,5.585005365,0.165187281
297.6014379,5.42196755,0.482539521
298.4025704,5.271192121,0.52648402
299.2055721,5.130723513,0.466805766
300.0128961,5.06617837,0.368830252
301.6372721,5.029285606,0.180537928
303.2761237,5.157554821,0.071593904
304.0982283,5.199298549,0.065070358
304.9225614,5.241100207,0.065513692
305.7488354,5.273545914,0.075275773
306.5772012,5.301354643,0.086735798
307.4079589,5.333268671,0.117269281
309.91034,5.318695517,0.21301987
310.7480403,5.284368863,0.232102867
311.588005,5.252372764,0.221264718
314.1238093,5.227269402,0.177386354
317.5383856,5.234070673,0.136163023
320.1239998,5.248791525,0.118661483
323.6041099,5.263203388,0.107753679
328.0070648,5.268419528,0.091097542
331.5725543,5.273807195,0.062900881
333.3702071,5.288180452,0.043980858
335.1779281,5.311763183,0.034111688
336.9952897,5.330590807,0.032899271
339.7396616,5.354138149,0.03582836
343.4331811,5.373030626,0.037560598
346.2298147,5.391997828,0.036812319
349.9940608,5.415776942,0.035201843
352.8444596,5.444444644,0.029221695
355.7190976,5.502047221,0.018170255
356.6838757,5.559777209,0.04052219
359.5897935,5.607792692,0.263022057
360.5602209,5.521455431,0.351286558
361.5322253,5.412731411,0.374085454
362.5068501,5.310240319,0.354802279
363.4839277,5.210809561,0.272273086
365.4533625,5.203484008,0.081600161
366.4447178,5.265015903,0.020637516
367.438233,5.311920212,0.007855934
368.4337339,5.340165068,0.004660371
369.4317545,5.363774233,0.003800042
371.4351999,5.392197281,0.001086842
373.44951,5.420717569,0.003147182
375.4747439,5.449341803,0.001500369
377.5107793,5.473268798,0.00469337
379.5578553,5.497214656,0.019376883
383.6838945,5.506650448,0.039286985
386.8082963,5.525850996,0.04498472
391.0137158,5.549695369,0.06367283
396.3342259,5.564409342,0.053460681
397.4085874,5.607978981,0.063636125
400.6443669,5.612716268,0.1919685
401.727132,5.571027147,0.233079913
402.812243,5.516675353,0.246562865
403.8998971,5.455607944,0.225961974
404.991655,5.424974472,0.181769326
407.1861833,5.414294701,0.101486054
409.3945692,5.448969943,0.047065074
411.6149325,5.482750829,0.024220278
414.9673793,5.516504055,0.001576389
418.3479342,5.569641664,0.017036055
422.8974746,5.623166658,0.018408926
426.342223,5.667241606,0.016078152
430.9789084,5.726400695,0.003686999
434.4896934,5.775956526,0.017021096
439.2147757,5.830397496,0.058776441
442.792438,5.873807292,0.125640492
446.3947402,5.813139456,0.136801465
450.0317522,5.879254115,0.11378636
454.9262916,5.943060627,0.163587677
457.3914006,5.92837315,0.151484068
459.873843,6.006452627,0.106620522
461.1215516,6.078024858,0.118914472
463.6237937,6.144110918,0.153398258
